neuron_ID,delay,MII_value,animal_ID,experiment_ID
16,11,0.11111111111111101,2.0,7.0
17,1,0.12499999999999988,2.0,7.0
17,2,-0.2608695652173913,2.0,7.0
17,3,0.2173913043478261,2.0,7.0
17,4,-0.40625,2.0,7.0
17,5,-0.4999999999999999,2.0,7.0
17,6,-0.04347826086956518,2.0,7.0
17,7,-0.15625000000000008,2.0,7.0
17,8,-0.3750000000000001,2.0,7.0
17,9,0.619047619047619,2.0,7.0
17,10,0.5624999999999996,2.0,7.0
17,11,0.22222222222222202,2.0,7.0
18,1,0.17391304347826084,2.0,7.0
18,2,0.1956521739130436,2.0,7.0
18,3,0.2608695652173914,2.0,7.0
18,4,0.3478260869565218,2.0,7.0
18,5,-0.06521739130434782,2.0,7.0
18,6,0.1521739130434783,2.0,7.0
18,7,0.1956521739130436,2.0,7.0
18,8,-0.021739130434782646,2.0,7.0
18,9,0.021739130434782414,2.0,7.0
18,10,0.4565217391304344,2.0,7.0
18,11,0.2826086956521737,2.0,7.0
19,1,0.4374999999999999,2.0,8.0
19,2,1.2727272727272727,2.0,8.0
19,3,0.263157894736842,2.0,8.0
19,4,-0.09523809523809527,2.0,8.0
19,5,-0.2999999999999999,2.0,8.0
19,6,-0.3043478260869565,2.0,8.0
19,7,0.6000000000000003,2.0,8.0
19,8,1.1428571428571423,2.0,8.0
19,9,0.2000000000000002,2.0,8.0
19,10,0.8333333333333333,2.0,8.0
19,11,0.47368421052631576,2.0,8.0
20,1,0.24999999999999994,2.0,8.0
20,2,-0.24137931034482757,2.0,8.0
20,3,0.12000000000000023,2.0,8.0
20,4,-0.23333333333333325,2.0,8.0
20,5,-0.05263157894736851,2.0,8.0
20,6,-0.09523809523809527,2.0,8.0
20,7,-0.04347826086956495,2.0,8.0
20,8,-0.35,2.0,8.0
20,9,-0.3846153846153845,2.0,8.0
20,10,0.12499999999999988,2.0,8.0
20,11,0.0,2.0,8.0
21,1,-0.2195121951219512,2.0,8.0
21,2,-0.13888888888888884,2.0,8.0
21,3,0.10714285714285735,2.0,8.0
21,4,0.054054054054054,2.0,8.0
21,5,-0.3589743589743591,2.0,8.0
21,6,0.3750000000000001,2.0,8.0
21,7,-0.22222222222222232,2.0,8.0
21,8,0.4615384615384618,2.0,8.0
21,9,0.21212121212121202,2.0,8.0
21,10,-0.03125000000000005,2.0,8.0
21,11,0.40000000000000013,2.0,8.0
22,1,1.0,2.0,9.0
22,2,0.24999999999999978,2.0,9.0
22,3,-0.1764705882352941,2.0,9.0
22,4,0.4999999999999999,2.0,9.0
22,5,0.18749999999999997,2.0,9.0
22,6,0.2352941176470589,2.0,9.0
22,7,0.3846153846153847,2.0,9.0
22,8,-0.05882352941176465,2.0,9.0
22,9,-0.035714285714285775,2.0,9.0
22,10,0.21052631578947348,2.0,9.0
22,11,0.18749999999999997,2.0,9.0
23,1,-0.2906976744186046,3.0,10.0
23,2,-0.06024096385542173,3.0,10.0
23,3,0.15624999999999992,3.0,10.0
23,4,0.0,3.0,10.0
23,5,0.4363636363636363,3.0,10.0
23,6,-0.03896103896103883,3.0,10.0
23,7,0.1944444444444445,3.0,10.0
23,8,-0.1298701298701297,3.0,10.0
23,9,0.8962264150943391,3.0,10.0
23,10,0.5,3.0,10.0
23,11,0.2203389830508476,3.0,10.0
24,1,0.11627906976744182,3.0,10.0
24,2,0.03921568627450987,3.0,10.0
24,3,0.7333333333333335,3.0,10.0
24,4,0.17391304347826095,3.0,10.0
24,5,0.21904761904761877,3.0,10.0
24,6,0.29824561403508754,3.0,10.0
24,7,0.3181818181818182,3.0,10.0
