pref_delay,reliability,animal_ID,experiment_ID,selectivity,modulation_index
4,0.13803519685669116,3.0,11.0,0.8181818181818181,0.31006657507525254
9,0.19847172812937225,3.0,11.0,0.9090909090909091,0.33623670612276446
2,0.1090801858376464,3.0,11.0,0.9090909090909091,0.2991628600908144
2,0.3377821440144456,3.0,11.0,0.9090909090909091,0.13431258369361476
10,0.0517206633254482,3.0,14.0,0.9090909090909091,0.1939223465479012
9,0.08431471703053993,3.0,14.0,0.9090909090909091,0.24154857671145116
10,0.10485791829382912,3.0,14.0,0.9090909090909091,0.3861785396149755
3,0.05850039704475205,4.0,15.0,0.9090909090909091,0.17474791234540477
8,0.05355536745424892,4.0,15.0,0.9090909090909091,0.22069592841454816
10,0.23517113959235691,4.0,15.0,0.8181818181818181,0.38193462621827384
5,0.05878932679985053,4.0,15.0,0.9090909090909091,0.2126888892100063
8,0.07781048133813787,4.0,15.0,0.9090909090909091,0.31243765609450547
9,0.1710457994956207,4.0,15.0,0.6363636363636364,0.17837724126825033
8,0.0754548689358083,4.0,16.0,0.9090909090909091,0.20458638232508702
7,0.06087874119897121,4.0,16.0,0.7272727272727273,0.20080296614093027
6,0.09268506955869818,4.0,16.0,0.8181818181818181,0.38598118455994834
10,0.0634447745538507,4.0,16.0,0.9090909090909091,0.39568921633365717
5,0.05287438505225298,4.0,16.0,0.9090909090909091,0.29705595300597715
1,0.08372957985279601,4.0,16.0,0.9090909090909091,0.25559219554601315
5,0.04380208955458998,4.0,16.0,0.9090909090909091,0.3120973828677529
4,0.07051307081892813,4.0,16.0,0.9090909090909091,0.21858726660805824
2,0.07005190977806078,4.0,16.0,0.9090909090909091,0.2707219784911534
3,0.16628930210407855,4.0,16.0,0.9090909090909091,0.33066114328885604
2,0.05127466056910733,4.0,17.0,0.9090909090909091,0.250413055813388
9,0.09760050044236365,4.0,17.0,0.9090909090909091,0.44783482942649333
9,0.0932231259010485,4.0,17.0,0.9090909090909091,0.4368931533359074
2,0.09329026909123471,4.0,17.0,0.9090909090909091,0.25847819050268106
2,0.04199995233532619,4.0,18.0,0.9090909090909091,0.164402968090997
6,0.0515840367268143,4.0,18.0,0.9090909090909091,0.2884502123012849
6,0.07766109544695335,4.0,18.0,0.9090909090909091,0.31210301045457506
4,0.07133348485424139,4.0,18.0,0.9090909090909091,0.26279558970232636
