neuron_ID,delay,MII_value,animal_ID,experiment_ID
14,5,1.8571428571428577,19.0,86.0
14,6,-0.12500000000000008,19.0,86.0
14,7,0.25000000000000006,19.0,86.0
14,8,0.0,19.0,86.0
15,1,0.5,19.0,86.0
15,2,0.17647058823529424,19.0,86.0
15,3,0.846153846153846,19.0,86.0
15,4,0.31249999999999994,19.0,86.0
15,5,1.0,19.0,86.0
15,6,1.0909090909090913,19.0,86.0
15,7,2.0000000000000004,19.0,86.0
15,8,0.0,19.0,86.0
16,1,0.6666666666666667,19.0,86.0
16,2,3.600000000000001,19.0,86.0
16,3,0.0,19.0,86.0
16,5,0.6666666666666667,19.0,86.0
16,6,0.0,19.0,86.0
16,7,2.25,19.0,86.0
16,8,0.0,19.0,86.0
17,1,1.428571428571429,19.0,86.0
17,2,0.6363636363636365,19.0,86.0
17,3,0.15384615384615363,19.0,86.0
17,4,0.0,19.0,86.0
17,5,0.615384615384615,19.0,86.0
17,6,0.15384615384615394,19.0,86.0
17,7,0.3076923076923077,19.0,86.0
17,8,0.0,19.0,86.0
18,1,0.08823529411764706,19.0,86.0
18,2,-0.3428571428571429,19.0,86.0
18,3,0.027027027027027105,19.0,86.0
18,4,0.02631578947368417,19.0,86.0
18,5,0.33333333333333354,19.0,86.0
18,6,0.8666666666666668,19.0,86.0
18,8,0.0,19.0,86.0
19,1,0.20408163265306148,19.0,86.0
19,2,-0.017543859649123004,19.0,86.0
19,3,-0.033333333333333146,19.0,86.0
19,4,-0.36,19.0,86.0
19,5,0.13559322033898286,19.0,86.0
19,6,-0.0317460317460317,19.0,86.0
19,7,0.05769230769230769,19.0,86.0
19,8,0.0,19.0,86.0
20,1,0.2424242424242426,19.0,86.0
20,2,0.7555555555555558,19.0,86.0
20,3,0.10447761194029842,19.0,86.0
20,4,-0.012658227848101408,19.0,86.0
20,5,0.47272727272727266,19.0,86.0
20,6,0.11111111111111134,19.0,86.0
20,7,0.11594202898550722,19.0,86.0
20,8,0.0,19.0,86.0
21,1,0.3589743589743589,19.0,86.0
21,2,-0.04545454545454558,19.0,86.0
21,3,0.6333333333333329,19.0,86.0
21,4,-0.3125,19.0,86.0
21,5,0.5555555555555554,19.0,86.0
21,6,0.0,19.0,86.0
21,7,0.6956521739130433,19.0,86.0
21,8,0.0,19.0,86.0
22,1,1.0,20.0,87.0
22,2,-0.3157894736842105,20.0,87.0
22,3,-0.07692307692307697,20.0,87.0
22,4,1.4999999999999998,20.0,87.0
22,5,-0.25000000000000017,20.0,87.0
22,6,0.11764705882352935,20.0,87.0
22,7,-0.2592592592592592,20.0,87.0
22,8,0.0,20.0,87.0
23,1,0.42424242424242414,20.0,87.0
23,2,0.9999999999999997,20.0,87.0
23,3,0.39999999999999986,20.0,87.0
23,4,0.34285714285714286,20.0,87.0
23,5,0.2608695652173913,20.0,87.0
23,6,0.34285714285714286,20.0,87.0
23,7,0.06976744186046491,20.0,87.0
23,8,0.0,20.0,87.0
24,1,0.04000000000000012,20.0,87.0
24,2,0.0,20.0,87.0
24,3,0.24999999999999983,20.0,87.0
24,4,-0.3076923076923077,20.0,87.0
24,5,0.20000000000000023,20.0,87.0
24,6,0.0,20.0,87.0
24,7,0.27777777777777785,20.0,87.0
24,8,0.0,20.0,87.0
25,1,0.04000000000000012,20.0,87.0
25,2,-0.23999999999999994,20.0,87.0
25,3,0.13636363636363616,20.0,87.0
25,4,-0.2258064516129033,20.0,87.0
25,5,0.32142857142857145,20.0,87.0
25,6,0.4782608695652174,20.0,87.0
25,7,0.5000000000000002,20.0,87.0
25,8,0.0,20.0,87.0
26,1,-0.09734513274336275,20.0,87.0
26,2,-0.28260869565217384,20.0,87.0
26,3,-0.11382113821138218,20.0,87.0
26,4,-0.2569444444444444,20.0,87.0
26,5,-0.1800000000000001,20.0,87.0
26,6,-0.4444444444444444,20.0,87.0
26,7,-0.006944444444444523,20.0,87.0
26,8,0.0,20.0,87.0
27,1,0.022727272727272596,20.0,87.0
27,2,-0.07920792079207926,20.0,87.0
27,3,0.07446808510638292,20.0,87.0
27,4,-0.06250000000000011,20.0,87.0
27,5,0.3432835820895522,20.0,87.0
27,6,0.22784810126582253,20.0,87.0
27,7,0.23333333333333334,20.0,87.0
27,8,0.0,20.0,87.0
28,1,0.8999999999999999,20.0,87.0
